day,order_id,dropoff_lat,dropoff_lon,time_min
0,H00_0001,27.706314,85.319273,38.3
0,H00_0002,27.701591,85.301287,72.7
0,H00_0003,27.720007,85.327187,294.2
0,H00_0004,27.721098,85.315591,332.9
0,H00_0005,27.710597,85.30108,636.8
0,H00_0006,27.710175,85.322642,726.3
0,H00_0007,27.718577,85.29532,725.1
0,H00_0008,27.722932,85.320397,739.2
0,H00_0009,27.700016,85.3055,756.9
0,H00_0010,27.72456,85.312892,778.3
0,H00_0011,27.705698,85.313523,787.9
0,H00_0012,27.715946,85.30716,806.9
0,H00_0013,27.701358,85.296588,782.7
0,H00_0014,27.698089,85.312129,792.7
0,H00_0015,27.725734,85.296514,809.1
0,H00_0016,27.707081,85.308913,826.1
0,H00_0017,27.730282,85.310368,823.6
0,H00_0018,27.698741,85.313575,1095.9
0,H00_0019,27.724584,85.32431,1136.4
0,H00_0020,27.701438,85.319918,1138.4
0,H00_0021,27.700107,85.305538,1133.0
0,H00_0022,27.713582,85.322526,1136.2
0,H00_0023,27.721968,85.308629,1169.9
0,H00_0024,27.709975,85.314913,1146.7
0,H00_0025,27.721033,85.308794,1142.1
0,H00_0026,27.703812,85.317425,1142.1
0,H00_0027,27.711952,85.322123,1198.1
0,H00_0028,27.70005,85.312333,1175.7
0,H00_0029,27.72156,85.308943,1191.9
0,H00_0030,27.725867,85.312407,1180.2
0,H00_0031,27.728841,85.312736,1207.5
0,H00_0032,27.727077,85.328804,1201.5
0,H00_0033,27.703663,85.312255,1225.5
0,H00_0034,27.713714,85.320305,1231.8
0,H00_0035,27.722185,85.311064,1243.7
0,H00_0036,27.70236,85.321935,1251.6
0,H00_0037,27.72616,85.313482,1246.3
0,H00_0038,27.705912,85.302276,1255.6
0,H00_0039,27.703931,85.307243,1376.7
0,H00_0040,27.733324,85.315366,283.7
0,H00_0041,27.707509,85.30696,654.5
0,H00_0042,27.718225,85.334576,663.2
0,H00_0043,27.727606,85.337017,734.7
0,H00_0044,27.704032,85.330611,728.3
0,H00_0045,27.718375,85.311441,772.2
0,H00_0046,27.723859,85.324867,776.5
0,H00_0047,27.730426,85.337,789.2
0,H00_0048,27.704755,85.313255,786.3
0,H00_0049,27.714702,85.319063,792.2
0,H00_0050,27.727017,85.330641,839.3
0,H00_0051,27.732056,85.327649,820.0
0,H00_0052,27.72891,85.328252,926.2
0,H00_0053,27.717203,85.311478,1025.8
0,H00_0054,27.736337,85.319634,1126.1
0,H00_0055,27.712653,85.332874,1138.9
0,H00_0056,27.717435,85.326085,1119.4
0,H00_0057,27.730302,85.325226,1117.6
0,H00_0058,27.70828,85.309721,1160.1
0,H00_0059,27.725335,85.32979,1149.4
0,H00_0060,27.713829,85.323115,1182.3
0,H00_0061,27.725918,85.31565,1198.2
0,H00_0062,27.701481,85.329495,1186.4
0,H00_0063,27.705839,85.327547,1213.3
0,H00_0064,27.701632,85.322645,1205.1
0,H00_0065,27.723736,85.313081,1254.6
0,H00_0066,27.703775,85.312094,1230.7
0,H00_0067,27.705576,85.307236,52.5
0,H00_0068,27.700256,85.321485,127.5
0,H00_0069,27.690743,85.317609,728.2
0,H00_0070,27.702855,85.298789,740.8
0,H00_0071,27.6805,85.320652,762.5
0,H00_0072,27.705989,85.297256,770.9
0,H00_0073,27.712632,85.312512,805.6
0,H00_0074,27.687229,85.304022,828.1
0,H00_0075,27.677768,85.303202,1008.7
0,H00_0076,27.680008,85.31123,1063.9
0,H00_0077,27.702036,85.308085,1102.6
0,H00_0078,27.710289,85.307428,1096.2
0,H00_0079,27.704528,85.299989,1129.6
0,H00_0080,27.698193,85.30494,1160.1
0,H00_0081,27.693353,85.326611,1145.0
0,H00_0082,27.685804,85.320737,1198.9
0,H00_0083,27.69164,85.319554,1198.7
0,H00_0084,27.704512,85.324255,1223.2
0,H00_0085,27.687817,85.316434,1253.5
0,H00_0086,27.706109,85.327551,1240.2
0,H00_0087,27.704011,85.31892,1249.1
0,H00_0088,27.718298,85.317276,146.4
0,H00_0089,27.72172,85.320423,175.5
0,H00_0090,27.716919,85.324332,298.4
0,H00_0091,27.734384,85.322913,426.6
0,H00_0092,27.713631,85.309418,665.8
0,H00_0093,27.731217,85.315081,749.3
0,H00_0094,27.724077,85.313559,756.8
0,H00_0095,27.731095,85.329579,779.2
